Rank,Population Density ▼,City / Population,,,,
1,"7,058.7/sq mi","Clarkston, GA / 7,717",,,,
2,"6,789.0/sq mi","Remerton, GA / 1,386",,,,
3,"5,242.6/sq mi","North Atlanta, GA / 40,456",,,,
4,"4,987.1/sq mi","Payne, GA / 214",,,,
5,"4,986.6/sq mi","Chamblee, GA / 15,835",,,,
6,"4,655.8/sq mi","Decatur, GA / 19,888",,,,
7,"4,323.1/sq mi","Fair Oaks, GA / 8,533",,,,
8,"4,264.4/sq mi","Lakeview Estates, GA / 2,427",,,,
9,"3,582.3/sq mi","Dunwoody, GA / 47,182",,,,
10,"3,552.9/sq mi","North Druid Hills, GA / 17,996",,,,
11,"3,462.5/sq mi","Stone Mountain, GA / 5,924",,,,
12,"3,452.6/sq mi","Redan, GA / 33,603",,,,
13,"3,439.2/sq mi","Smyrna, GA / 52,922",,,,
14,"3,424.0/sq mi","Druid Hills, GA / 14,439",,,,
15,"3,416.2/sq mi","North Decatur, GA / 17,023",,,,
16,"3,411.5/sq mi","Riverdale, GA / 15,496",,,,
17,"3,394.4/sq mi","Norcross, GA / 15,799",,,,
18,"3,341.5/sq mi","Belvedere Park, GA / 16,446",,,,
19,"3,288.2/sq mi","Atlanta, GA / 440,641",,,,
20,"3,286.0/sq mi","Kennesaw, GA / 31,358",,,,
21,"3,180.6/sq mi","Candler-Mcafee, GA / 22,345",,,,
22,"3,160.5/sq mi","Vinings, GA / 10,221",,,,
23,"2,932.1/sq mi","Doraville, GA / 10,513",,,,
24,"2,926.7/sq mi","Conley, GA / 5,679",,,,
25,"2,907.0/sq mi","Bonanza, GA / 3,483",,,,
26,"2,832.1/sq mi","Gresham Park, GA / 7,947",,,,
27,"2,808.9/sq mi","Scottdale, GA / 9,847",,,,
28,"2,747.7/sq mi","Hapeville, GA / 6,611",,,,
29,"2,740.6/sq mi","Duluth, GA / 27,821",,,,
30,"2,589.1/sq mi","Johns Creek, GA / 80,979",,,,
31,"2,569.2/sq mi","Panthersville, GA / 9,474",,,,
32,"2,557.3/sq mi","Pine Lake, GA / 674",,,,
33,"2,556.3/sq mi","Sandy Springs, GA / 98,480",,,,
34,"2,522.2/sq mi","Marietta, GA / 58,436",,,,
35,"2,519.7/sq mi","Grovetown, GA / 12,179",,,,
